Date,Close,High,Low,Open,Volume,Peaklabel
2020-06-22,9.495453834533691,9.499939439663825,9.242786607989723,9.269449295826174,398468000,1
2020-06-23,9.418953895568848,9.61082159286055,9.37659397631104,9.51962191479776,375108000,0
2020-06-24,9.205159187316895,9.525104713245367,9.11445759212739,9.445117618857322,449372000,0
2020-06-25,9.458820343017578,9.473771402658837,9.152081707683207,9.325011733648926,376072000,0
2020-06-26,9.124922752380371,9.46878958777205,9.095021577728417,9.46878958777205,592084000,-1
2020-06-29,9.16977596282959,9.174261567246987,8.870761332951616,9.139625743182323,342248000,0
2020-06-30,9.466548919677734,9.494954897992837,9.236058796542249,9.283402410581209,367892000,0
2020-07-01,9.498688697814941,9.544289001079408,9.382073476640645,9.489469400681928,326648000,0
2020-07-02,9.580672264099121,9.705510657234788,9.546783565117343,9.607333997458817,364056000,0
2020-07-06,9.806923866271973,9.876195501444966,9.68059029670261,9.70974434360956,315892000,0
2020-07-07,9.839319229125977,10.036917756201923,9.81838830952711,9.913574565553944,357800000,0
2020-07-08,10.182437896728516,10.191409105478023,9.932761115650374,9.960918049913765,365480000,0
2020-07-09,10.474472999572754,10.535272457666457,10.19987784530415,10.346146153732471,494548000,1
2020-07-10,10.44482421875,10.620245677843826,10.344654268209897,10.553964428188653,497676000,0
2020-07-13,10.019225120544434,10.756793760750423,9.992064356360784,10.560192374284812,457076000,-1
2020-07-14,10.342906951904297,10.368572511781375,9.753350002189828,10.041899106036565,542676000,0
2020-07-15,10.193649291992188,10.398722830247333,10.022712536124303,10.380035192296354,403984000,0
2020-07-16,10.101454734802246,10.173217745001248,9.862990558813213,9.982098125908408,344964000,0
2020-07-17,10.167984962463379,10.214830484976233,10.05460915949439,10.191906282585094,266284000,0
2020-07-20,10.476219177246094,10.496652011737252,10.1233820711901,10.240496356265767,284852000,1
2020-07-21,10.294568061828613,10.525308149375949,10.252955266756203,10.478461674152124,277036000,0
2020-07-22,10.404455184936523,10.56766690260036,10.257688779713293,10.333439305059624,367292000,0
2020-07-23,10.09647274017334,10.512351701734342,9.998296074196562,10.41567023734135,411660000,-1
2020-07-24,10.161005973815918,10.33069655717382,9.744878124933878,9.842555720418181,473292000,0
2020-07-27,10.387263298034668,10.407446141195411,10.184182053010103,10.198635033288873,292132000,0
2020-07-28,10.181939125061035,10.34789221759346,10.175710228370741,10.34016811954595,271636000,0
2020-07-29,10.431119918823242,10.481702980706977,10.313009443629682,10.356615531460488,284508000,0
2020-07-30,10.579130172729492,10.588100430153268,10.26142698106072,10.340915039427342,308880000,0
2020-07-31,10.579879760742188,10.731131814787535,10.398726524810586,10.528548622228614,386080000,0
2020-08-03,10.974080085754395,11.062289375342752,10.680049120459866,10.69724251295412,412720000,0
2020-08-04,11.190864562988281,11.190864562988281,10.870171883791201,11.013698870045127,310336000,0
2020-08-05,11.249667167663574,11.334387937767092,11.129563458827059,11.207058216136458,249924000,0
2020-08-06,11.298259735107422,11.320685854849678,11.14202497287641,11.31246272248456,244316000,1
2020-08-07,11.162707328796387,11.466954684500212,11.001239830042792,11.27533601596011,342516000,0
2020-08-10,11.128317832946777,11.37076853903549,10.82083110751174,11.297012256001894,427796000,0
2020-08-11,10.81435489654541,11.10016267764318,10.760282409156774,11.037368974633992,354512000,-1
2020-08-12,11.402667045593262,11.429328779045278,10.922250155475355,10.95464365307995,464412000,0
2020-08-13,11.405404090881348,11.683238681525856,11.318440992363485,11.508065374647796,374460000,0
2020-08-14,11.526009559631348,11.666297093001686,11.402915416624678,11.49212086252578,366436000,0
2020-08-17,12.296466827392578,12.368977899388444,11.77842481721311,11.812312555503244,621300000,1
2020-08-18,12.220468521118164,12.454946105530478,12.046542307651915,12.409096754213667,503448000,0
2020-08-19,12.098621368408203,12.274540878447802,12.05825378506346,12.256102280404066,622624000,0
2020-08-20,12.10111141204834,12.334342827188413,11.839723068799437,11.935657378647244,921388000,0
2020-08-21,12.64183235168457,12.766670742488705,12.155185624536907,12.161664514022654,999868000,0
2020-08-24,12.678459167480469,12.870077802503456,12.466407700415783,12.841421839181855,490564000,0
2020-08-25,12.708112716674805,12.719325301047373,12.532441290508038,12.589254189402922,289076000,0
2020-08-26,12.731037139892578,12.826223389970261,12.636099931621986,12.75720078775593,321244000,0
2020-08-27,12.586762428283691,12.807784169735637,12.525214885431776,12.739508696253512,317604000,-1
2020-08-28,13.104554176330566,13.104803218100614,12.600964151604,12.633357641991108,537160000,0
2020-08-31,13.330559730529785,13.530400544551487,12.994916057578646,13.139439180720887,500840000,0
2020-09-01,13.779712677001953,13.951946142353602,13.396360790385742,13.439730789751346,511316000,0
2020-09-02,14.303645133972168,14.682759244340765,13.858478124124495,14.659827233952877,874012000,1
2020-09-03,12.976621627807617,13.843025331300952,12.840279891466327,13.787441967935662,945128000,0
2020-09-04,12.584797859191895,13.13564735062594,11.66978875925159,12.745565379552463,1463684000,0
2020-09-08,11.877413749694824,12.512510995351848,11.669287553145319,11.69944678759346,795728000,-1
2020-09-09,12.677019119262695,12.770987310832087,12.195212021345103,12.362959524696853,736200000,0
2020-09-10,12.27497386932373,13.026223067344244,12.130655660062205,12.950449874656908,698684000,0
2020-09-11,12.12816333770752,12.61470553639161,11.86021593774041,12.44820456904525,636928000,0
